State,PollScore,SampleSize,NumericGrade,PollRecency,Percentage,CandidateName
Wisconsin,NA,600,NA,8,50,Kamala Harris
Wisconsin,NA,600,NA,8,47,Donald Trump
Wisconsin,NA,600,NA,8,48,Kamala Harris
Wisconsin,NA,600,NA,8,46,Donald Trump
Washington,0,571,1.4,3,55,Kamala Harris
Washington,0,571,1.4,3,40,Donald Trump
Oregon,0,716,1.4,3,53,Kamala Harris
Oregon,0,716,1.4,3,41,Donald Trump
NA,-0.4,1257,1.8,4,49,Kamala Harris
NA,-0.4,1257,1.8,4,47,Donald Trump
NA,NA,1045,NA,4,49.4,Kamala Harris
NA,NA,1045,NA,4,48.6,Donald Trump
Florida,-0.4,788,2.3,5,47,Kamala Harris
Florida,-0.4,788,2.3,5,52,Donald Trump
Michigan,NA,600,NA,8,53,Kamala Harris
Michigan,NA,600,NA,8,45,Donald Trump
Michigan,NA,600,NA,8,51,Kamala Harris
Michigan,NA,600,NA,8,43,Donald Trump
Pennsylvania,NA,600,NA,8,49,Kamala Harris
Pennsylvania,NA,600,NA,8,49,Donald Trump
Pennsylvania,NA,600,NA,8,49,Kamala Harris
Pennsylvania,NA,600,NA,8,48,Donald Trump
NA,NA,1000,NA,10,48.9,Kamala Harris
NA,NA,1000,NA,10,51.1,Donald Trump
Georgia,NA,400,NA,18,49.3,Kamala Harris
Georgia,NA,400,NA,18,50.7,Donald Trump
South Carolina,NA,400,NA,40,41.6,Kamala Harris
South Carolina,NA,400,NA,40,58.4,Donald Trump
NA,-0.4,1228,1.8,5,49,Kamala Harris
NA,-0.4,1228,1.8,5,46,Donald Trump
NA,-1.1,1000,2.9,5,49.5,Kamala Harris
NA,-1.1,1000,2.9,5,49.2,Donald Trump
NA,0.2,800,1.1,5,45,Kamala Harris
NA,0.2,800,1.1,5,46,Donald Trump
NA,-0.4,2950,2.3,5,50,Kamala Harris
NA,-0.4,2950,2.3,5,49,Donald Trump
Georgia,-0.4,1029,1.8,5,48.8,Kamala Harris
Georgia,-0.4,1029,1.8,5,45.8,Donald Trump
Georgia,-0.4,813,1.8,5,48.3,Kamala Harris
Georgia,-0.4,813,1.8,5,48.5,Donald Trump
Georgia,-0.4,1029,1.8,5,48.3,Kamala Harris
Georgia,-0.4,1029,1.8,5,44.8,Donald Trump
Georgia,-0.4,813,1.8,5,49,Kamala Harris
Georgia,-0.4,813,1.8,5,48.5,Donald Trump
Arizona,-1.1,1435,3,8,48,Kamala Harris
Arizona,-1.1,1435,3,8,51,Donald Trump
Wisconsin,-0.4,787,2.3,9,49,Kamala Harris
Wisconsin,-0.4,787,2.3,9,50,Donald Trump
Michigan,-0.4,789,2.3,9,49,Kamala Harris
Michigan,-0.4,789,2.3,9,49,Donald Trump
NA,NA,2540,NA,22,53,Kamala Harris
NA,NA,2540,NA,22,47,Donald Trump
Texas,NA,400,NA,23,44.2,Kamala Harris
Texas,NA,400,NA,23,55.8,Donald Trump
Tennessee,NA,400,NA,25,37.6,Kamala Harris
Tennessee,NA,400,NA,25,62.4,Donald Trump
Massachusetts,NA,400,NA,43,66.6,Kamala Harris
Massachusetts,NA,400,NA,43,33.4,Donald Trump
Georgia,-0.3,800,2,5,47,Kamala Harris
Georgia,-0.3,800,2,5,49,Donald Trump
NA,-0.4,1248,1.8,6,50,Kamala Harris
NA,-0.4,1248,1.8,6,46,Donald Trump
NA,-1.1,1457,3,7,48,Kamala Harris
NA,-1.1,1457,3,7,45,Donald Trump
NA,-1.1,1314,3,7,49,Kamala Harris
NA,-1.1,1314,3,7,45,Donald Trump
Arizona,-0.3,653,1.9,13,49,Kamala Harris
Arizona,-0.3,653,1.9,13,48,Donald Trump
Georgia,-0.3,1002,1.9,13,48,Kamala Harris
Georgia,-0.3,1002,1.9,13,49,Donald Trump
Maryland,-0.3,490,1.9,13,64,Kamala Harris
Maryland,-0.3,490,1.9,13,31,Donald Trump
Michigan,-0.3,1065,1.9,13,49,Kamala Harris
Michigan,-0.3,1065,1.9,13,47,Donald Trump
Nevada,-0.3,496,1.9,13,49,Kamala Harris
Nevada,-0.3,496,1.9,13,45,Donald Trump
North Carolina,-0.3,1072,1.9,13,48,Kamala Harris
North Carolina,-0.3,1072,1.9,13,49,Donald Trump
Ohio,-0.3,1243,1.9,13,45,Kamala Harris
Ohio,-0.3,1243,1.9,13,52,Donald Trump
Pennsylvania,-0.3,1395,1.9,13,49,Kamala Harris
Pennsylvania,-0.3,1395,1.9,13,48,Donald Trump
Texas,-0.3,2048,1.9,13,46,Kamala Harris
Texas,-0.3,2048,1.9,13,50,Donald Trump
Wisconsin,-0.3,527,1.9,13,47,Kamala Harris
Wisconsin,-0.3,527,1.9,13,48,Donald Trump
Michigan,-0.2,589,2.4,5,47,Kamala Harris
Michigan,-0.2,589,2.4,5,47,Donald Trump
Michigan,-0.2,589,2.4,5,47.4,Kamala Harris
Michigan,-0.2,589,2.4,5,48.5,Donald Trump
NA,-0.4,1198,1.8,7,49,Kamala Harris
NA,-0.4,1198,1.8,7,46,Donald Trump
Wisconsin,0.6,803,1.1,7,49,Kamala Harris
Wisconsin,0.6,803,1.1,7,50,Donald Trump
California,-1.1,1000,2.9,7,61,Kamala Harris
California,-1.1,1000,2.9,7,36.6,Donald Trump
North Carolina,0.4,620,1.8,7,46,Kamala Harris
North Carolina,0.4,620,1.8,7,48,Donald Trump
Arizona,0.4,1141,1.8,7,46,Kamala Harris
Arizona,0.4,1141,1.8,7,48,Donald Trump
Florida,0.4,1009,1.8,7,44,Kamala Harris
Florida,0.4,1009,1.8,7,50,Donald Trump
Georgia,0.4,637,1.8,7,47,Kamala Harris
Georgia,0.4,637,1.8,7,47,Donald Trump
Michigan,0.4,682,1.8,7,47,Kamala Harris
Michigan,0.4,682,1.8,7,47,Donald Trump
Minnesota,0.4,544,1.8,7,51,Kamala Harris
Minnesota,0.4,544,1.8,7,43,Donald Trump
Nevada,0.4,838,1.8,7,47,Kamala Harris
Nevada,0.4,838,1.8,7,47,Donald Trump
New Mexico,0.4,382,1.8,7,49,Kamala Harris
New Mexico,0.4,382,1.8,7,45,Donald Trump
Pennsylvania,0.4,1649,1.8,7,48,Kamala Harris
Pennsylvania,0.4,1649,1.8,7,48,Donald Trump
Wisconsin,0.4,641,1.8,7,48,Kamala Harris
Wisconsin,0.4,641,1.8,7,47,Donald Trump
North Carolina,-1.1,600,2.1,7,46.6,Kamala Harris
