poll_id,pollster_id,Pollster,Party,sponsors,NumericGrade,PollScore,Methodology,State,StartDate,EndDate,SampleSize,Population,ElectionDate,Stage,CandidateName,Percentage,PollRecency
88781,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Kamala Harris,50,8
88781,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Donald Trump,47,8
88781,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Kamala Harris,48,8
88781,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Donald Trump,46,8
88766,383,PPP,DEM,Northwest Progressive Institute,1.4,0,IVR/Text,Washington,2024-10-16,2024-10-17,571,lv,2024-11-05,general,Kamala Harris,55,3
88766,383,PPP,REP,Northwest Progressive Institute,1.4,0,IVR/Text,Washington,2024-10-16,2024-10-17,571,lv,2024-11-05,general,Donald Trump,40,3
88767,383,PPP,DEM,Northwest Progressive Institute,1.4,0,IVR/Text,Oregon,2024-10-16,2024-10-17,716,lv,2024-11-05,general,Kamala Harris,53,3
88767,383,PPP,REP,Northwest Progressive Institute,1.4,0,IVR/Text,Oregon,2024-10-16,2024-10-17,716,lv,2024-11-05,general,Donald Trump,41,3
88764,770,TIPP,DEM,NA,1.8,-0.4,Online Panel,NA,2024-10-15,2024-10-17,1257,lv,2024-11-05,general,Kamala Harris,49,4
88764,770,TIPP,REP,NA,1.8,-0.4,Online Panel,NA,2024-10-15,2024-10-17,1257,lv,2024-11-05,general,Donald Trump,47,4
88778,1895,Quantus Insights,DEM,NA,NA,NA,Online Panel,NA,2024-10-15,2024-10-17,1045,lv,2024-11-05,general,Kamala Harris,49.4,4
88778,1895,Quantus Insights,REP,NA,NA,NA,Online Panel,NA,2024-10-15,2024-10-17,1045,lv,2024-11-05,general,Donald Trump,48.6,4
88769,1554,RMG Research,DEM,Napolitan News Service,2.3,-0.4,Online Panel,Florida,2024-10-14,2024-10-17,788,lv,2024-11-05,general,Kamala Harris,47,5
88769,1554,RMG Research,REP,Napolitan News Service,2.3,-0.4,Online Panel,Florida,2024-10-14,2024-10-17,788,lv,2024-11-05,general,Donald Trump,52,5
88779,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,53,8
88779,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,45,8
88779,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,51,8
88779,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,43,8
88780,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,49,8
88780,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,49,8
88780,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,49,8
88780,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,48,8
88772,1741,ActiVote,DEM,NA,NA,NA,App Panel,NA,2024-10-09,2024-10-17,1000,lv,2024-11-05,general,Kamala Harris,48.9,10
88772,1741,ActiVote,REP,NA,NA,NA,App Panel,NA,2024-10-09,2024-10-17,1000,lv,2024-11-05,general,Donald Trump,51.1,10
88771,1741,ActiVote,DEM,NA,NA,NA,App Panel,Georgia,2024-10-01,2024-10-17,400,lv,2024-11-05,general,Kamala Harris,49.3,18
88771,1741,ActiVote,REP,NA,NA,NA,App Panel,Georgia,2024-10-01,2024-10-17,400,lv,2024-11-05,general,Donald Trump,50.7,18
88770,1741,ActiVote,DEM,NA,NA,NA,App Panel,South Carolina,2024-09-09,2024-10-17,400,lv,2024-11-05,general,Kamala Harris,41.6,40
88770,1741,ActiVote,REP,NA,NA,NA,App Panel,South Carolina,2024-09-09,2024-10-17,400,lv,2024-11-05,general,Donald Trump,58.4,40
88739,770,TIPP,DEM,NA,1.8,-0.4,Online Panel,NA,2024-10-14,2024-10-16,1228,lv,2024-11-05,general,Kamala Harris,49,5
88739,770,TIPP,REP,NA,1.8,-0.4,Online Panel,NA,2024-10-14,2024-10-16,1228,lv,2024-11-05,general,Donald Trump,46,5
88765,1102,Emerson,DEM,NA,2.9,-1.1,IVR/Online Panel/Text-to-Web,NA,2024-10-14,2024-10-16,1000,lv,2024-11-05,general,Kamala Harris,49.5,5
88765,1102,Emerson,REP,NA,2.9,-1.1,IVR/Online Panel/Text-to-Web,NA,2024-10-14,2024-10-16,1000,lv,2024-11-05,general,Donald Trump,49.2,5
88774,356,OnMessage Inc.,DEM,Senate Opportunity Fund,1.1,0.2,Online Panel,NA,2024-10-14,2024-10-16,800,lv,2024-11-05,general,Kamala Harris,45,5
88774,356,OnMessage Inc.,REP,Senate Opportunity Fund,1.1,0.2,Online Panel,NA,2024-10-14,2024-10-16,800,lv,2024-11-05,general,Donald Trump,46,5
88775,1554,RMG Research,DEM,Napolitan News Service,2.3,-0.4,Online Panel,NA,2024-10-14,2024-10-16,2950,lv,2024-11-05,general,Kamala Harris,50,5
88775,1554,RMG Research,REP,Napolitan News Service,2.3,-0.4,Online Panel,NA,2024-10-14,2024-10-16,2950,lv,2024-11-05,general,Donald Trump,49,5
88783,770,TIPP,DEM,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,1029,rv,2024-11-05,general,Kamala Harris,48.8,5
88783,770,TIPP,REP,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,1029,rv,2024-11-05,general,Donald Trump,45.8,5
88783,770,TIPP,DEM,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,813,lv,2024-11-05,general,Kamala Harris,48.3,5
88783,770,TIPP,REP,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,813,lv,2024-11-05,general,Donald Trump,48.5,5
88783,770,TIPP,DEM,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,1029,rv,2024-11-05,general,Kamala Harris,48.3,5
88783,770,TIPP,REP,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,1029,rv,2024-11-05,general,Donald Trump,44.8,5
88783,770,TIPP,DEM,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,813,lv,2024-11-05,general,Kamala Harris,49,5
88783,770,TIPP,REP,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,813,lv,2024-11-05,general,Donald Trump,48.5,5
88762,568,YouGov,DEM,CBS News,3,-1.1,Online Panel,Arizona,2024-10-11,2024-10-16,1435,lv,2024-11-05,general,Kamala Harris,48,8
88762,568,YouGov,REP,CBS News,3,-1.1,Online Panel,Arizona,2024-10-11,2024-10-16,1435,lv,2024-11-05,general,Donald Trump,51,8
88756,1554,RMG Research,DEM,Napolitan News Service,2.3,-0.4,Online Panel,Wisconsin,2024-10-10,2024-10-16,787,lv,2024-11-05,general,Kamala Harris,49,9
88756,1554,RMG Research,REP,Napolitan News Service,2.3,-0.4,Online Panel,Wisconsin,2024-10-10,2024-10-16,787,lv,2024-11-05,general,Donald Trump,50,9
88760,1554,RMG Research,DEM,Napolitan News Service,2.3,-0.4,Online Panel,Michigan,2024-10-10,2024-10-16,789,lv,2024-11-05,general,Kamala Harris,49,9
88760,1554,RMG Research,REP,Napolitan News Service,2.3,-0.4,Online Panel,Michigan,2024-10-10,2024-10-16,789,lv,2024-11-05,general,Donald Trump,49,9
88782,1904,Gateway Political Strategies,DEM,NA,NA,NA,Online Panel,NA,2024-09-27,2024-10-16,2540,rv,2024-11-05,general,Kamala Harris,53,22
88782,1904,Gateway Political Strategies,REP,NA,NA,NA,Online Panel,NA,2024-09-27,2024-10-16,2540,rv,2024-11-05,general,Donald Trump,47,22
