poll_id,pollster_id,Pollster,Party,sponsors,NumericGrade,PollScore,Methodology,State,StartDate,EndDate,SampleSize,Population,ElectionDate,Stage,CandidateName,Percentage
88781,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Kamala Harris,50
88781,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Donald Trump,47
88781,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Kamala Harris,48
88781,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Donald Trump,46
88766,383,PPP,DEM,Northwest Progressive Institute,1.4,0,IVR/Text,Washington,2024-10-16,2024-10-17,571,lv,2024-11-05,general,Kamala Harris,55
88766,383,PPP,REP,Northwest Progressive Institute,1.4,0,IVR/Text,Washington,2024-10-16,2024-10-17,571,lv,2024-11-05,general,Donald Trump,40
88767,383,PPP,DEM,Northwest Progressive Institute,1.4,0,IVR/Text,Oregon,2024-10-16,2024-10-17,716,lv,2024-11-05,general,Kamala Harris,53
88767,383,PPP,REP,Northwest Progressive Institute,1.4,0,IVR/Text,Oregon,2024-10-16,2024-10-17,716,lv,2024-11-05,general,Donald Trump,41
88764,770,TIPP,DEM,NA,1.8,-0.4,Online Panel,NA,2024-10-15,2024-10-17,1257,lv,2024-11-05,general,Kamala Harris,49
88764,770,TIPP,REP,NA,1.8,-0.4,Online Panel,NA,2024-10-15,2024-10-17,1257,lv,2024-11-05,general,Donald Trump,47
88778,1895,Quantus Insights,DEM,NA,NA,NA,Online Panel,NA,2024-10-15,2024-10-17,1045,lv,2024-11-05,general,Kamala Harris,49.4
88778,1895,Quantus Insights,REP,NA,NA,NA,Online Panel,NA,2024-10-15,2024-10-17,1045,lv,2024-11-05,general,Donald Trump,48.6
88769,1554,RMG Research,DEM,Napolitan News Service,2.3,-0.4,Online Panel,Florida,2024-10-14,2024-10-17,788,lv,2024-11-05,general,Kamala Harris,47
88769,1554,RMG Research,REP,Napolitan News Service,2.3,-0.4,Online Panel,Florida,2024-10-14,2024-10-17,788,lv,2024-11-05,general,Donald Trump,52
88779,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,53
88779,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,45
88779,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,51
88779,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,43
88780,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,49
88780,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,49
88780,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,49
88780,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,48
88772,1741,ActiVote,DEM,NA,NA,NA,App Panel,NA,2024-10-09,2024-10-17,1000,lv,2024-11-05,general,Kamala Harris,48.9
88772,1741,ActiVote,REP,NA,NA,NA,App Panel,NA,2024-10-09,2024-10-17,1000,lv,2024-11-05,general,Donald Trump,51.1
88771,1741,ActiVote,DEM,NA,NA,NA,App Panel,Georgia,2024-10-01,2024-10-17,400,lv,2024-11-05,general,Kamala Harris,49.3
88771,1741,ActiVote,REP,NA,NA,NA,App Panel,Georgia,2024-10-01,2024-10-17,400,lv,2024-11-05,general,Donald Trump,50.7
88770,1741,ActiVote,DEM,NA,NA,NA,App Panel,South Carolina,2024-09-09,2024-10-17,400,lv,2024-11-05,general,Kamala Harris,41.6
88770,1741,ActiVote,REP,NA,NA,NA,App Panel,South Carolina,2024-09-09,2024-10-17,400,lv,2024-11-05,general,Donald Trump,58.4
88739,770,TIPP,DEM,NA,1.8,-0.4,Online Panel,NA,2024-10-14,2024-10-16,1228,lv,2024-11-05,general,Kamala Harris,49
88739,770,TIPP,REP,NA,1.8,-0.4,Online Panel,NA,2024-10-14,2024-10-16,1228,lv,2024-11-05,general,Donald Trump,46
88765,1102,Emerson,DEM,NA,2.9,-1.1,IVR/Online Panel/Text-to-Web,NA,2024-10-14,2024-10-16,1000,lv,2024-11-05,general,Kamala Harris,49.5
88765,1102,Emerson,REP,NA,2.9,-1.1,IVR/Online Panel/Text-to-Web,NA,2024-10-14,2024-10-16,1000,lv,2024-11-05,general,Donald Trump,49.2
88774,356,OnMessage Inc.,DEM,Senate Opportunity Fund,1.1,0.2,Online Panel,NA,2024-10-14,2024-10-16,800,lv,2024-11-05,general,Kamala Harris,45
88774,356,OnMessage Inc.,REP,Senate Opportunity Fund,1.1,0.2,Online Panel,NA,2024-10-14,2024-10-16,800,lv,2024-11-05,general,Donald Trump,46
88775,1554,RMG Research,DEM,Napolitan News Service,2.3,-0.4,Online Panel,NA,2024-10-14,2024-10-16,2950,lv,2024-11-05,general,Kamala Harris,50
88775,1554,RMG Research,REP,Napolitan News Service,2.3,-0.4,Online Panel,NA,2024-10-14,2024-10-16,2950,lv,2024-11-05,general,Donald Trump,49
88783,770,TIPP,DEM,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,1029,rv,2024-11-05,general,Kamala Harris,48.8
88783,770,TIPP,REP,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,1029,rv,2024-11-05,general,Donald Trump,45.8
88783,770,TIPP,DEM,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,813,lv,2024-11-05,general,Kamala Harris,48.3
88783,770,TIPP,REP,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,813,lv,2024-11-05,general,Donald Trump,48.5
88783,770,TIPP,DEM,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,1029,rv,2024-11-05,general,Kamala Harris,48.3
88783,770,TIPP,REP,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,1029,rv,2024-11-05,general,Donald Trump,44.8
88783,770,TIPP,IND,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,1029,rv,2024-11-05,general,Cornel West,1
88783,770,TIPP,GRE,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,1029,rv,2024-11-05,general,Jill Stein,1
88783,770,TIPP,DEM,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,813,lv,2024-11-05,general,Kamala Harris,49
88783,770,TIPP,REP,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,813,lv,2024-11-05,general,Donald Trump,48.5
88783,770,TIPP,IND,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,813,lv,2024-11-05,general,Cornel West,0.5
88783,770,TIPP,GRE,Center for American Greatness,1.8,-0.4,Online Panel,Georgia,2024-10-14,2024-10-16,813,lv,2024-11-05,general,Jill Stein,0.8
88762,568,YouGov,DEM,CBS News,3,-1.1,Online Panel,Arizona,2024-10-11,2024-10-16,1435,lv,2024-11-05,general,Kamala Harris,48
88762,568,YouGov,REP,CBS News,3,-1.1,Online Panel,Arizona,2024-10-11,2024-10-16,1435,lv,2024-11-05,general,Donald Trump,51
88756,1554,RMG Research,DEM,Napolitan News Service,2.3,-0.4,Online Panel,Wisconsin,2024-10-10,2024-10-16,787,lv,2024-11-05,general,Kamala Harris,49
