poll_id,pollster_id,Pollster,Party,sponsors,NumericGrade,PollScore,Methodology,State,StartDate,EndDate,SampleSize,Population,ElectionDate,Stage,CandidateName,Percentage,TimeToElection,Weight,numpolls,PredictedPercentage
88781,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Kamala Harris,50,25,0.04,5764,NA
88781,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Donald Trump,47,25,0.04,5203,NA
88781,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Kamala Harris,48,25,0.04,5764,NA
88781,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Wisconsin,2024-10-11,2024-10-18,600,lv,2024-11-05,general,Donald Trump,46,25,0.04,5203,NA
88766,383,PPP,DEM,Northwest Progressive Institute,1.4,0,IVR/Text,Washington,2024-10-16,2024-10-17,571,lv,2024-11-05,general,Kamala Harris,55,20,0.05,5764,49.81785584140674
88766,383,PPP,REP,Northwest Progressive Institute,1.4,0,IVR/Text,Washington,2024-10-16,2024-10-17,571,lv,2024-11-05,general,Donald Trump,40,20,0.05,5203,44.81908862791568
88767,383,PPP,DEM,Northwest Progressive Institute,1.4,0,IVR/Text,Oregon,2024-10-16,2024-10-17,716,lv,2024-11-05,general,Kamala Harris,53,20,0.05,5764,49.85045377812006
88767,383,PPP,REP,Northwest Progressive Institute,1.4,0,IVR/Text,Oregon,2024-10-16,2024-10-17,716,lv,2024-11-05,general,Donald Trump,41,20,0.05,5203,44.851686564629006
88764,770,TIPP,DEM,NA,1.8,-0.4,Online Panel,NA,2024-10-15,2024-10-17,1257,lv,2024-11-05,general,Kamala Harris,49,21,0.047619047619047616,5764,NA
88764,770,TIPP,REP,NA,1.8,-0.4,Online Panel,NA,2024-10-15,2024-10-17,1257,lv,2024-11-05,general,Donald Trump,47,21,0.047619047619047616,5203,NA
88778,1895,Quantus Insights,DEM,NA,NA,NA,Online Panel,NA,2024-10-15,2024-10-17,1045,lv,2024-11-05,general,Kamala Harris,49.4,21,0.047619047619047616,5764,NA
88778,1895,Quantus Insights,REP,NA,NA,NA,Online Panel,NA,2024-10-15,2024-10-17,1045,lv,2024-11-05,general,Donald Trump,48.6,21,0.047619047619047616,5203,NA
88769,1554,RMG Research,DEM,Napolitan News Service,2.3,-0.4,Online Panel,Florida,2024-10-14,2024-10-17,788,lv,2024-11-05,general,Kamala Harris,47,22,0.045454545454545456,5764,48.12236599271102
88769,1554,RMG Research,REP,Napolitan News Service,2.3,-0.4,Online Panel,Florida,2024-10-14,2024-10-17,788,lv,2024-11-05,general,Donald Trump,52,22,0.045454545454545456,5203,43.12359877921996
88779,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,53,25,0.04,5764,NA
88779,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,45,25,0.04,5203,NA
88779,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,51,25,0.04,5764,NA
88779,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Michigan,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,43,25,0.04,5203,NA
88780,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,49,25,0.04,5764,NA
88780,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,49,25,0.04,5203,NA
88780,1697,Bullfinch,DEM,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Kamala Harris,49,25,0.04,5764,NA
88780,1697,Bullfinch,REP,NA,NA,NA,Online Panel,Pennsylvania,2024-10-11,2024-10-17,600,lv,2024-11-05,general,Donald Trump,48,25,0.04,5203,NA
88772,1741,ActiVote,DEM,NA,NA,NA,App Panel,NA,2024-10-09,2024-10-17,1000,lv,2024-11-05,general,Kamala Harris,48.9,27,0.037037037037037035,5764,NA
88772,1741,ActiVote,REP,NA,NA,NA,App Panel,NA,2024-10-09,2024-10-17,1000,lv,2024-11-05,general,Donald Trump,51.1,27,0.037037037037037035,5203,NA
88771,1741,ActiVote,DEM,NA,NA,NA,App Panel,Georgia,2024-10-01,2024-10-17,400,lv,2024-11-05,general,Kamala Harris,49.3,35,0.02857142857142857,5764,NA
88771,1741,ActiVote,REP,NA,NA,NA,App Panel,Georgia,2024-10-01,2024-10-17,400,lv,2024-11-05,general,Donald Trump,50.7,35,0.02857142857142857,5203,NA
88770,1741,ActiVote,DEM,NA,NA,NA,App Panel,South Carolina,2024-09-09,2024-10-17,400,lv,2024-11-05,general,Kamala Harris,41.6,57,0.017543859649122806,5764,NA
88770,1741,ActiVote,REP,NA,NA,NA,App Panel,South Carolina,2024-09-09,2024-10-17,400,lv,2024-11-05,general,Donald Trump,58.4,57,0.017543859649122806,5203,NA
88739,770,TIPP,DEM,NA,1.8,-0.4,Online Panel,NA,2024-10-14,2024-10-16,1228,lv,2024-11-05,general,Kamala Harris,49,22,0.045454545454545456,5764,NA
88739,770,TIPP,REP,NA,1.8,-0.4,Online Panel,NA,2024-10-14,2024-10-16,1228,lv,2024-11-05,general,Donald Trump,46,22,0.045454545454545456,5203,NA
88765,1102,Emerson,DEM,NA,2.9,-1.1,IVR/Online Panel/Text-to-Web,NA,2024-10-14,2024-10-16,1000,lv,2024-11-05,general,Kamala Harris,49.5,22,0.045454545454545456,5764,NA
88765,1102,Emerson,REP,NA,2.9,-1.1,IVR/Online Panel/Text-to-Web,NA,2024-10-14,2024-10-16,1000,lv,2024-11-05,general,Donald Trump,49.2,22,0.045454545454545456,5203,NA
88774,356,OnMessage Inc.,DEM,Senate Opportunity Fund,1.1,0.2,Online Panel,NA,2024-10-14,2024-10-16,800,lv,2024-11-05,general,Kamala Harris,45,22,0.045454545454545456,5764,NA
